GeneID	HBXGZ	HBXHA	HBXHB	HBXHC	HBXHG	HBXHH	HBXHN	HBXHO	HBXHP	HBXHS	HBXHT	HBXHU	HBXHW	HBXHX	HBXHY	HBXHZ	HBXNA	HBXNB	HBXNC	HBXNG	HBXNH	HBXNN	HBXNO	HBXNP	HBXNS	HBXNT	HBXNU
639297601	87.81	84.13	82.72	60.83	54.9	61.34	73.2	75.69	67.53	90.15	93.68	90.78	356.46	324.87	319.28	78.93	51.83	66.3	59.71	83.83	103.15	184.83	178.2	179.05	170.01	75.55	89.71
639297602	77.39	79.96	78.9	78.94	58.93	69.8	78.38	75.98	89.42	97.07	106.06	93.51	115.82	114.61	122.45	349.5	531.6	359.8	652.73	409.11	356.54	458.85	464.58	457.41	215.93	340.97	298.92
639297603	206.82	215.9	210.85	298.53	255.97	274.78	293.61	279.58	304.51	246.56	231.64	254.02	251.49	221.48	215.81	68.8	31.36	84.13	26.44	47.38	57.69	66.86	95.37	67.8	128.26	71.85	100.13
639297604	0.49	0.0	0.0	2.2	1.06	0.46	1.12	1.1	0.51	1.16	0.0	0.0	2.29	2.08	2.28	5.6	8.36	1.4	1.54	0.47	0.0	10.57	3.54	5.95	3.69	2.5	0.0
639297605	6.95	6.74	5.86	4.27	3.39	3.05	3.04	2.15	3.9	2.14	3.3	4.18	4.2	3.9	2.83	3.18	2.56	0.63	0.75	1.75	1.19	3.03	2.56	4.05	1.0	1.75	0.69
639297606	4.3	4.58	3.92	3.21	2.14	3.43	2.27	1.24	1.39	2.35	3.44	3.96	2.98	2.81	3.07	3.49	3.25	0.79	0.39	2.88	1.72	3.06	1.71	4.14	1.0	0.84	0.34
639297607	48.96	45.06	52.45	101.76	113.73	96.84	78.72	90.32	97.26	94.13	84.41	90.33	97.84	78.24	81.15	31.44	14.01	36.51	16.27	24.87	33.7	27.41	39.56	34.26	50.29	39.72	50.54
639297608	292.08	317.24	299.95	244.48	239.85	245.48	223.0	208.14	194.35	178.28	165.73	177.89	222.36	263.96	238.83	63.03	62.58	70.34	67.71	57.54	46.2	50.22	56.94	49.2	49.39	55.35	46.12
639297609	70.36	59.69	63.12	93.31	41.34	98.64	122.78	81.35	114.75	133.67	114.85	142.18	54.46	154.74	102.68	35.35	146.33	39.74	159.06	112.21	143.92	147.64	82.84	113.4	221.04	132.85	159.47
639297610	75.34	76.2	97.86	25.28	26.96	25.65	97.6	90.1	77.28	164.3	166.14	155.31	102.69	71.72	125.03	21.26	64.56	27.67	72.33	53.95	92.53	36.41	35.06	39.93	126.69	73.56	87.75
639297611	570.55	583.33	589.29	391.34	370.41	390.3	357.86	339.54	334.66	346.14	330.15	337.31	315.29	364.23	335.36	15.41	19.61	48.33	19.59	18.08	19.95	31.86	38.62	31.11	60.79	35.5	37.08
639297612	22.18	21.63	25.08	30.04	31.5	29.11	42.07	33.76	38.08	30.99	31.44	37.58	31.64	29.61	38.46	25.68	19.63	25.21	13.41	20.02	21.01	28.38	21.26	23.01	51.6	26.29	27.41
639297613	22.66	19.15	22.78	20.87	19.35	21.22	20.8	21.28	19.26	22.67	22.71	20.52	18.19	20.58	21.59	8.59	7.37	7.77	5.57	6.95	5.6	9.62	10.71	11.81	10.51	9.65	4.78
639297614	132.16	165.37	173.7	43.19	34.16	39.47	60.48	55.92	51.57	74.27	80.41	67.43	39.94	36.25	39.22	14.5	18.8	15.81	44.26	47.1	42.38	48.07	56.63	42.86	38.78	37.57	38.36
639297615	40.19	44.43	42.38	25.83	18.29	22.13	24.64	22.81	27.94	23.77	23.12	25.81	25.48	25.75	26.9	9.85	11.02	6.51	10.77	13.25	14.89	14.86	17.37	14.77	11.95	11.1	8.76
639297616	995.62	912.6	988.77	648.08	696.14	598.18	575.07	695.97	716.29	779.34	806.32	757.87	548.91	542.43	498.46	64.26	53.79	120.72	58.34	57.59	64.42	87.22	85.6	99.09	136.04	54.61	68.58
639297617	380.04	371.09	379.63	396.49	423.65	418.96	390.6	349.22	379.75	387.09	375.52	372.99	387.17	392.3	393.55	42.91	55.36	74.08	47.8	48.59	55.5	86.19	101.6	78.11	92.02	74.42	81.63
639297618	32.87	32.69	37.01	41.63	56.17	44.62	32.6	40.66	42.56	49.69	35.09	46.07	39.68	35.93	39.26	9.41	7.16	12.34	6.06	4.83	6.83	10.99	9.88	8.67	22.89	7.27	8.18
639297619	156.14	153.44	145.53	145.91	163.62	132.79	120.91	132.62	118.29	134.49	129.21	136.97	139.25	110.21	105.87	578.87	692.2	496.71	761.56	559.02	496.86	499.28	415.5	464.6	225.28	336.76	318.15
639297620	18.73	18.91	19.47	15.02	14.44	13.72	12.89	14.28	15.09	15.97	14.77	16.23	15.99	13.23	13.82	12.72	10.43	11.13	7.28	3.62	6.76	9.61	11.6	10.61	11.86	8.83	9.34
639297621	23.77	22.47	16.26	29.42	22.67	21.88	17.04	22.82	20.3	27.71	26.85	23.55	21.76	18.22	18.28	27.73	38.13	25.62	21.75	18.54	21.86	41.1	30.84	36.69	29.88	31.44	25.81
639297622	110.54	103.67	106.55	239.36	290.88	253.12	181.9	226.76	234.28	253.0	186.54	204.72	241.52	207.31	191.47	34.3	16.13	53.64	19.47	22.17	35.91	41.6	59.7	51.3	455.72	68.17	81.17
639297623	170.48	151.13	169.45	140.18	141.14	155.64	170.32	182.72	159.1	203.84	193.1	200.43	152.62	154.2	161.73	112.89	30.84	116.09	64.66	199.52	205.32	133.17	122.04	115.28	52.0	133.7	58.63
639297624	189.69	175.38	172.45	144.47	146.93	150.25	161.26	202.94	174.61	200.97	226.64	218.28	172.49	139.99	137.94	286.83	69.64	293.95	197.31	549.97	624.51	250.91	245.59	280.74	120.31	399.3	254.14
639297625	132.4	128.94	127.56	105.74	115.59	105.0	116.86	144.37	124.45	149.47	152.35	159.88	113.51	96.96	95.1	335.43	83.99	310.52	175.74	551.44	664.25	248.47	247.88	246.98	83.58	469.85	348.25
639297626	182.12	149.72	154.69	154.69	199.49	206.98	186.7	209.13	200.82	179.49	175.23	196.91	198.42	166.45	161.59	870.14	211.55	835.03	412.21	1322.19	1690.24	436.83	450.12	523.96	165.86	1276.43	1062.93
639297627	127.07	128.9	129.3	137.62	121.37	136.74	133.91	148.5	153.35	155.28	170.01	152.13	126.93	126.55	127.36	755.57	236.08	772.83	405.89	1377.53	1560.83	530.07	504.55	505.49	169.33	1174.13	912.07
639297628	49.59	53.11	47.3	48.26	56.98	51.33	46.54	57.36	53.38	54.11	50.02	55.6	58.68	43.9	44.09	1101.72	219.74	993.94	456.81	2005.98	2436.75	730.58	688.69	744.31	212.52	1683.93	1607.58
639297629	19.67	17.19	16.84	62.16	72.09	52.83	49.23	51.27	50.9	34.33	29.46	37.06	63.48	56.89	56.52	3057.92	604.88	2661.27	802.21	3591.63	4536.41	1051.81	988.89	1028.71	901.23	4311.69	3904.24
639297630	31.41	27.01	27.5	13.11	14.26	13.18	13.82	17.92	21.96	15.3	15.81	15.68	13.57	17.4	18.72	524.07	122.1	496.31	187.58	581.26	803.44	104.25	77.24	115.01	525.82	882.2	801.48
639297631	29.96	25.03	28.87	9.92	9.34	7.27	10.0	8.55	13.37	12.03	9.22	8.25	10.5	7.47	11.08	132.27	30.52	116.33	107.41	262.33	354.58	46.32	34.43	52.54	176.84	207.8	222.92
