"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Atu4137",96.908730171341,0.539122624183296,1.4652894560011,0.367929095493943,0.712926104592136,0.85592801983312
"Atu0990",121.382339188321,-0.0940921798711451,0.256322671485248,-0.367084890797732,0.713555697179148,0.856440248067834
"Atu1544",61.5101298987906,-0.0821240269273694,0.223960775903127,-0.366689330290995,0.713850766209227,0.856440248067834
"Atu4318",92.7303820809843,-0.176520672504057,0.481514437898689,-0.366594765619877,0.713921313226716,0.856440248067834
"Atu1744",53.2727756493992,-0.153116658071561,0.418057335910543,-0.366257555887801,0.714172897914788,0.856514683035278
"Atu4057",38.9842905004957,0.0818964599638237,0.224203261022496,0.365277737666833,0.714904094750529,0.857164129524447
"Atu0094",25.4689558418548,-0.0815957680064611,0.223539352799529,-0.365017465536085,0.715098368841073,0.857169636284565
"Atu2374",69.6267050082372,-0.2435227632333,0.670368203945045,-0.363267174368049,0.716405311913619,0.858357858900455
"Atu1730",1037.92804648305,-0.137351677362909,0.378417656647287,-0.362963183535938,0.716632386802682,0.858357858900455
"Atu3028",3.76969413390214,0.182037427660772,0.502237138186008,0.362453139802165,0.717013435243085,NA
"Atu1037",66.158464271223,0.227192750246483,0.627113258244213,0.362283442838659,0.717140229726619,0.858357858900455
"Atu4859",39.1444051476961,-0.153693430528896,0.424262170777826,-0.362260510398843,0.717157365026373,0.858357858900455
"Atu1028",737.447189153485,0.0500088072295274,0.138058867742615,0.362228142583057,0.717181550755663,0.858357858900455
"Atu1039",152.570677293702,0.301424190895179,0.832285946107007,0.362164220488261,0.717229315160018,0.858357858900455
"Atu0749",71.3371973984324,0.142308504767538,0.393619100767575,0.361538615605873,0.717696843235925,0.858689974737396
"Atu1058",41.3494395122442,-0.111103431044546,0.307806514498901,-0.360952175510056,0.71813519865546,0.858760817716006
"Atu4794",5.69772194864293,-0.175276618980401,0.485828287043255,-0.360778949383809,0.718264700418897,0.858760817716006
"Atu1464",208.659077416121,0.118715758662627,0.329142966520269,0.360681438578808,0.718337601881574,0.858760817716006
"Atu2165",420.787729547564,0.425885368018998,1.18170242092582,0.36039984388399,0.718548143353959,0.858760817716006
