Module	LB1	LB2	LB3	Glucose1	Glucose2	Glucose3	Mannose1	Mannose2	Mannose3	Mannitol1	Mannitol2	Mannitol3	Arabinose1	Arabinose2	Arabinose3	Acetate1	Acetate2	Acetate3	Succinate1	Succinate2	Succinate3	Fumarate1	Fumarate2	Fumarate3	PCA1	PCA2	PCA3
P2_I7_M1	-0.133420435839145	-0.130189150150704	-0.134460141288524	-0.133590127258899	-0.160187438666934	-0.130106542196042	-0.050282664719916	-0.113044115835067	-0.0826878787678789	-0.125200536425903	-0.128294936488078	-0.136938433041198	-0.0708847562629349	-0.092315902186202	-0.0498678283181034	0.464111890501967	0.503760744740157	-0.0196000509811826	-0.057962802819907	0.073033702119129	-0.0452847900071367	0.283803353325076	0.03640236330986	0.478482082037712	-0.0212602562753066	0.0419036069198696	-0.0659189554247094
P1_I8_M1	0.222033781362561	0.211544357433892	0.223299362471692	0.174352405800903	0.138741041728107	0.159051906690926	0.1669842551452	0.164304284625867	0.200178403252868	0.16422855702061	0.157840909966755	0.149735501453308	0.121987851200087	0.128796962638299	0.16127965743417	-0.214257304394765	-0.240912053323559	-0.185730512996641	-0.264645624310439	-0.25474508945755	-0.251957630391993	-0.208245675167551	-0.190913548174482	-0.194656571072803	-0.133486798998831	-0.209110765047419	-0.195697664889211
P3_I7_M10	-0.254737553933253	-0.255474542992736	-0.25668611627056	-0.142509217571326	-0.142079204692901	-0.138726573172579	-0.143370303147987	-0.107518727005382	-0.111763211323722	-0.0965853772936246	-0.091280400754763	-0.124760830664818	-0.1407034148958	-0.175184797370884	-0.145905328112785	0.0746730536842811	-0.0289468927758789	0.047414935251016	0.169195915949695	0.234830029077829	0.289634156915626	0.178998415854736	0.186380822714547	0.247184704753298	0.354282370593703	0.300198156770031	0.273439930414237
P1_I8_M2	-0.158028493514271	-0.166197200699925	-0.163145394679885	-0.166178354896422	-0.181579117275368	-0.174554161723634	-0.15337748851357	-0.148059935726431	-0.142976551686087	-0.143916971723414	-0.141429185345874	-0.149615931331768	-0.164629100579184	-0.181981864068688	-0.157495273386402	0.202854959146831	0.262881208957445	0.141566377626193	0.34951026765395	0.224380157175683	0.175529958211801	0.301762589618882	0.268365456714692	0.321601530973983	-0.0184093395048237	0.11284198968359	0.050279868892696
P2_I7_M6	-0.204396915818536	-0.209550594701919	-0.212007271089519	-0.101634566601242	-0.0903991727781943	-0.100035999338447	-0.120026109781072	-0.106877952915137	-0.1062216604148	-0.125400257926329	-0.125072696496119	-0.125176872743084	-0.131755700363857	-0.144577133662143	-0.13724367586055	0.0324500629616821	-0.0771937674381381	0.00463692492245719	0.131920129409201	0.424005406223988	0.566081284983706	0.195704020484771	0.23252442906208	0.212967644582725	0.0564952721941932	0.127016198477061	0.13376897462722
P5_I3_M1	-0.34954217696868	-0.370329997589908	-0.37248473155213	-0.000975232135246459	0.0709384453210005	0.03382580581319	-0.0767447211938752	-0.0431016648562534	-3.51269569891788e-05	-0.151218888739213	-0.149769241168832	-0.165774779291815	0.0175980000457066	-0.0357791949319735	0.0527679622846396	0.16668115222427	-0.0698098970132962	0.103774039105832	-0.0784139989404549	0.0554860782848287	0.215118337186622	0.00752201489249712	-0.0109650319359277	0.0473900120954652	0.394539998114607	0.320854289670113	0.388448548235824
P5_I3_M2	-0.237731784555047	-0.246498885346149	-0.246312764086539	0.00546343916563649	0.0707005408042692	0.0434568640581608	-0.0820312366072025	-0.0539073437819179	-0.0600010632377189	-0.104975927853854	-0.100738557178627	-0.102513074919189	-0.0750124669614869	-0.0928468679506513	-0.104547372718306	0.0640075944814482	-0.140852690391791	-0.00930516306477394	-0.0968602540549944	0.474668264295046	0.659459222250985	0.091379092830235	0.0994745296974992	0.122520775044496	-0.0505732870538818	0.0699869856867381	0.103591431447618
P3_I7_M6	0.394004219794692	0.354944894633802	0.360266536255468	-0.152689111268235	-0.191773825008266	-0.186371311581024	-0.101843861120118	-0.134598595417445	-0.147644274714502	-0.149647106270378	-0.137554664342174	-0.15825795685874	-0.158234875568189	-0.147721650733286	-0.119190336249673	0.259522605171283	0.298030570050207	-0.0651332434555027	-0.109409193841323	-0.0297105753081204	-0.0721621574738483	0.170907021791744	0.0435923944513868	0.315544487755728	-0.0494660462858894	-0.0182731465880775	-0.0671307978195177
P3_I7_M9	0.289004500617155	0.277765329949317	0.247384088336235	0.0595656425325395	0.0164147325747143	0.0340221233090928	0.11159710595721	0.143392293862579	0.177798641013004	0.204799748314665	0.205902914752903	0.185112331228955	0.0286824105181103	-0.0472012031986729	0.00710670599515776	-0.227136545656748	-0.397791437280032	-0.203226730957866	-0.375113237770902	-0.286740092156403	-0.237849144726848	-0.0508333999242197	0.0251032783399308	-0.0326539158029694	0.114013991413218	-0.171234012207133	-0.0978861190329907
P3_I7_M1	-0.00837716814768085	-0.0244415876225642	-0.0162265484830539	-0.00813061546462382	-0.0709615183187167	-0.00904827977478423	0.1991113536322	0.240014694860215	0.195350371467983	0.414749619379207	0.48013798957851	0.456062369147614	-0.0563745995000895	-0.0849811960662493	-0.0448836794517134	-0.157443577331841	-0.173964170021355	-0.109722690010226	-0.157671010572486	-0.154434316437043	-0.152530538841452	-0.136757400449646	-0.128903380148708	-0.13122205632437	-0.0960067457149273	-0.128750601849385	-0.134594717534812
P2_I7_M7	-0.102554044393015	-0.0946306910843359	-0.0967019048871642	-0.0583394472935872	-0.047530993140223	-0.0524636624578754	-0.0690448555165265	-0.0637007343699607	-0.0616971887210069	-0.0994654433413075	-0.0860036380742443	-0.0922603263512973	0.527289391574973	0.530203126341712	0.564243560096033	-0.0435371837034889	-0.0878258793626705	-0.0776656348885998	-0.0995305109196283	-0.0544689253726418	-0.046904552524311	-0.0341661935233586	-0.0517399285195943	-0.0192297326600928	-0.0378794288559361	-0.0690696616974511	-0.0753255163544005
P3_I7_M2	-0.102790507797601	-0.111651685589294	-0.0984829968466324	0.147776212629048	0.198072939904563	0.156518299132452	0.0920653043723254	0.157884792944636	0.144023571399601	0.141800140090252	0.130808866487974	0.121618490607327	0.109312197109662	0.0401225521441614	0.0897197559936688	-0.129678918883269	-0.293486070330207	-0.117640952327389	-0.318790307825357	-0.244096046673688	-0.204885974986077	-0.177347257643664	-0.135714897720341	-0.157911826729457	0.588817315193835	-0.0908306630514433	0.0647676683949175
P3_I7_M7	0.399276757342627	0.444102478330522	0.488629639080658	-0.151614590352008	-0.235960117381412	-0.183382440581892	-0.0455218459335279	-0.0799741200672098	-0.104475655338846	0.0590115117812083	0.0625614844577086	0.00187908661239583	-0.177219703294195	-0.1957584305603	-0.188896037274445	-0.151385606500234	-0.127636791322411	-0.15599831652027	0.0614481234077835	0.00417798038269066	0.0106920883802425	0.141660348652881	0.189233666962193	0.136484883360688	-0.118245588699695	-0.0226375471296627	-0.0604512577954902
P3_I7_M3	-0.15519646663575	-0.158689557996935	-0.159401833000175	0.00467928866228686	0.0246565284129685	0.014849941663764	-0.0293227730932212	-0.0111143983477791	-0.0106509764324471	-0.0360269907240962	-0.040968417245219	-0.0410448006552584	-0.0459332019988638	-0.073229145055473	-0.051963486226719	0.0614185285353725	-0.109229667025023	0.00952540753168805	-0.181197855847806	-0.0998430230864592	-0.0583050717035053	-0.0660104324051908	-0.0673451599618989	-0.0538331482503246	0.830227199813048	0.155806675210765	0.348142835862253
P3_I7_M8	-0.0415254379650323	-0.08877353420835	-0.0856860713007717	0.22949726429488	0.102292665263191	0.157850071870646	0.270530860809362	0.176985993439087	0.299499720720501	0.0874305363450108	0.0324019795681212	0.0375510974137929	0.185219849851376	0.27201377011616	0.4220686548867	-0.0818704253818164	-0.0737449246020174	-0.153460169829742	-0.228976876741151	-0.240602567170253	-0.248262436300226	-0.131589159930482	-0.164518779761012	-0.0746377837745647	-0.193514664488028	-0.216651182431754	-0.249528450693628
P2_I7_M3	0.48693028207554	0.478460510309977	0.487349104570455	0.0109369688363537	-0.0294391204141554	-0.011462332623773	0.0380382595804554	0.0422590439231685	0.0526340105498789	0.0735337903898763	0.0755781345278179	0.0636759845274589	-0.0060672828698453	-0.0121596399877036	0.00691832595881261	-0.133547407680239	-0.143240559338304	-0.158806571746538	-0.200377519773619	-0.19285002525473	-0.191238336518826	-0.106577787113874	-0.0964658311334537	-0.0808015518164164	-0.128837157515212	-0.158525250352858	-0.165918041110248
