"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Atu0251",1631.95528351453,-6.22834437098711,0.607697175506257,-10.2490921827939,1.19460217685606e-24,9.76189078854211e-23
"Atu0896",91.9674733458289,3.80470617202723,0.37500961251722,10.1456230588023,3.46559813256234e-24,2.78554551540216e-22
"Atu3934",21.6644268624411,3.22240354604742,0.31916825757852,10.0962532129457,5.73932434503182e-24,4.53869471995016e-22
"Atu3827",6.29007627177707,3.10353241652503,0.307600633643147,10.0894864219477,6.14903848969639e-24,4.7855136055526e-22
"Atu4523",75.5491020388077,4.89099088599313,0.49021289165628,9.97727919693823,1.91649937677152e-23,1.46821819442356e-21
"Atu0490",89.6986094723638,3.78585076683919,0.387978998171838,9.75787551562885,1.70693390526375e-22,1.28755337500125e-20
"Atu2798",27.4829532826424,1.56707080371208,0.160814228382578,9.74460294635133,1.94537859325853e-22,1.44518049132524e-20
"Atu2803",16.7044429952587,1.87112119004893,0.192848981139824,9.70252048514731,2.94140940248105e-22,2.15249705975591e-20
"Atu0163",4.97991456283736,3.10893900943477,0.323522670192947,9.60964808920689,7.27973587616627e-22,5.24890367659459e-20
"Atu4522",60.1797618833808,4.88957519821268,0.51179863535875,9.5537089402071,1.25134355787632e-21,8.89179342647479e-20
"Atu1068",35.2790398327827,2.546679597187,0.266749172472097,9.54709464920042,1.33384414647081e-21,9.34262550020912e-20
"Atu3389",5.23816604923845,2.8499894451723,0.298652628005698,9.54282392960535,1.38994900955104e-21,9.59847886454752e-20
"Atu3910",108.886852139177,2.74154136416745,0.288319483878051,9.50869267415525,1.9307359678627e-21,1.31477756255983e-19
"Atu0162",5.38951602504145,3.10438227752865,0.3266739038523,9.50300051800967,2.03927887965847e-21,1.36966908862541e-19
"Atu3828",9.57290364609901,2.22654460124812,0.235096914885468,9.47075210379865,2.77835933430284e-21,1.84085078595768e-19
"Atu0161",13.1267335313655,3.34939330531267,0.357053577080281,9.38064626799575,6.55695778758518e-21,4.28650187100402e-19
"Atu3689",5.65665187182439,3.14496710281646,0.335803870805341,9.3654879417383,7.56996992406061e-21,4.88362664969331e-19
"Atu0529",77.8545579475939,2.4191994369648,0.258503307106699,9.35848544469979,8.08878214423609e-21,5.15055829262202e-19
"Atu1662",38.7344024382895,3.02877330071338,0.334296481050288,9.06014113937909,1.30281868455953e-19,8.18938462871205e-18
"Atu1341",205.117092610221,1.07602569526021,0.120166512192125,8.95445557694003,3.41416207516713e-19,2.11894134867651e-17
"Atu4228",17.982343644587,1.72912632881842,0.194615865893445,8.88481687184301,6.40261461336265e-19,3.92400243116463e-17
"Atu0893",51.2394260706392,3.55986011766355,0.401880808109731,8.85799979951158,8.14628633140973e-19,4.93101751640764e-17
"Atu1738",17.9290700938107,1.622495533264,0.1847184685682,8.78361295348744,1.58305759299027e-18,9.4655260712577e-17
"Atu1558",18.2290219926874,2.23546311610297,0.256734013374162,8.70731184669724,3.11166142709002e-18,1.83812963578582e-16
"Atu1468",43.6473554422179,3.59321936269252,0.416792898412445,8.62111465041513,6.63054805197637e-18,3.87018774986192e-16
"Atu2805",104.393015644631,2.44197282233311,0.285612068355088,8.54996371966019,1.231272083972e-17,7.10226709142909e-16
"Atu3690",4.01176910651408,3.17482583292799,0.371932517760816,8.53602651373891,1.38916497835865e-17,7.91985568475867e-16
"Atu0202",14.6597691740287,2.04381979904573,0.245509541160886,8.32480802734417,8.44655153431015e-17,4.76016576697961e-15
"Atu0407",22.7381135647936,3.03331760253639,0.365045126994507,8.30943184342805,9.61613684438737e-17,5.35771806227628e-15
"Atu3738",10.4552541580019,1.881205726773,0.226932307336939,8.28972193888582,1.13513521105303e-16,6.25344712336291e-15
"Atu3575",559.493941326853,-6.65228439823119,0.804629802687079,-8.2675093266689,1.36786544311698e-16,7.45182696400281e-15
"Atu2335",1067.68679952439,2.30388973253746,0.278924795721922,8.25989574205642,1.4579975963972e-16,7.85556287377527e-15
"Atu0300",597.182505313848,-2.50160264301492,0.30646396652102,-8.16279535703048,3.27358858300812e-16,1.74460921983574e-14
"Atu0116",413.612080952336,-6.35263797653123,0.7797832371982,-8.14667163064004,3.74077681087835e-16,1.97215362405769e-14
"Atu4443",328.098772915152,-4.11725336425618,0.512280339085782,-8.03710985981593,9.19821957885294e-16,4.79775219096978e-14
"Atu0262",85.1186931121436,1.2300503225589,0.153197409303418,8.02918488081418,9.81223971178323e-16,5.06414855861823e-14
"Atu1670",193.726043474388,1.64374262250134,0.206342642464095,7.96608303001336,1.63782918036741e-15,8.36487132431398e-14
"Atu3641",109.985671796036,-1.55028948287563,0.195235137532819,-7.94062740174027,2.01161111923359e-15,1.01679683686622e-13
"Atu1061",19.0263018905455,2.42394314369932,0.305475371357644,7.93498714127569,2.10517134372211e-15,1.05323011206832e-13
"Atu0462",1483.88465968373,-2.63071510587116,0.336075389842003,-7.82775289528912,4.96666890300813e-15,2.45975531630796e-13
"Atu1131",1154.47878490168,2.73394292274913,0.350473205135747,7.80071880727717,6.15555361123436e-15,3.01806793558821e-13
"Atu2337",15.7514054921437,1.73670707841225,0.224190581579273,7.74656573964125,9.44111450339437e-15,4.58314697130125e-13
"Atu0895",212.502193455327,3.84673397189894,0.496917961659463,7.74118520299153,9.84943019610221e-15,4.73448590700874e-13
"Atu3198",753.604586039676,-5.9778290810419,0.777867229640172,-7.684896410673,1.53120839136552e-14,7.28884926491763e-13
"Atu1475",28.4768883777804,1.66054505012151,0.216791117999739,7.65965444268576,1.86434028975298e-14,8.78928888524892e-13
"Atu0802",14.2587284260379,1.75774937852098,0.229664407551409,7.65355588731144,1.95496617113304e-14,9.12876108291933e-13
"Atu1503",98.6251943482908,0.903484677697431,0.118970512931304,7.59418998402676,3.09723706756447e-14,1.42825454892731e-12
"Atu2573",284.303415938756,-1.1319543915298,0.14907143241826,-7.59336898537202,3.11693323955175e-14,1.42825454892731e-12
"Atu4675",91.9700830495961,1.5058608334556,0.199550365657586,7.54626947684751,4.479027980855e-14,2.03339575834556e-12
"Atu4227",22.9896917446038,1.54490026447418,0.205549095447948,7.51596722480057,5.64917057966098e-14,2.54109021578695e-12
"Atu3031",155.938508935894,-1.91104720784942,0.255853671708174,-7.46929756798314,8.06240338154263e-14,3.58220355986726e-12
"Atu0898",45.6960968764063,2.01607827737989,0.269943270544581,7.4685257880764,8.10982245860219e-14,3.58220355986726e-12
