locus_tag,LB1,LB2,LB3,Glucose1,Glucose2,Glucose3,Mannose1,Mannose2,Mannose3,Mannitol1,Mannitol2,Mannitol3,Arabinose1,Arabinose2,Arabinose3,Acetate1,Acetate2,Acetate3,Succinate1,Succinate2,Succinate3,Fumarate1,Fumarate2,Fumarate3,PCA1,PCA2,PCA3
Atu1666,3.31,2.96,2.94,3.0,0.0,0.75,1.21,1.51,0.86,0.47,1.66,1.57,1.04,1.11,1.87,2.21,4.92,0.94,0.0,1.84,0.0,5.11,0.5,1.52,1.5,0.47,0.93
Atu1667,2491.37,2502.59,2721.78,1165.99,1153.25,1149.31,3402.33,4272.47,4027.17,4592.63,6631.67,4664.11,641.11,296.71,353.83,40.5,43.25,575.25,88.8,84.44,119.98,56.7,47.34,45.81,44.07,54.18,69.24
Atu1669,95.66,88.7,90.96,55.72,55.4,50.63,51.75,50.6,52.23,48.44,41.83,43.37,46.49,55.15,62.49,6.43,10.19,9.98,8.63,6.58,4.88,10.69,11.17,9.21,6.88,10.75,9.22
Atu1670,539.81,546.54,557.53,191.71,201.86,188.71,198.12,198.44,194.68,222.49,219.73,220.61,175.03,175.12,174.14,126.62,98.87,129.22,55.88,67.07,84.81,132.24,151.3,145.26,270.27,106.57,135.88
Atu1672,46.36,40.46,42.31,93.56,99.05,89.21,79.36,82.65,87.91,61.67,59.78,67.68,79.04,91.51,88.87,29.57,26.52,45.04,17.21,19.18,20.73,38.26,50.15,39.41,35.76,27.15,24.52
Atu1673,28.19,28.21,24.15,38.76,46.02,39.03,42.08,50.2,55.2,38.23,39.29,34.84,51.09,42.56,45.92,12.14,10.83,12.36,4.41,6.04,7.47,14.84,17.91,16.72,9.54,11.11,6.51
Atu1674,1.56,3.45,3.07,3.76,5.9,4.23,5.31,4.93,6.45,6.21,3.46,3.2,5.07,2.43,7.5,7.49,9.62,3.25,4.03,8.67,7.2,8.66,7.9,9.3,3.76,1.76,2.91
Atu1675,1.11,1.14,1.65,2.22,0.72,1.26,1.93,1.12,2.73,0.32,1.3,0.26,1.93,2.05,3.76,11.14,11.27,5.54,6.04,4.95,2.25,5.67,3.38,9.45,4.23,5.51,4.2
Atu1676,34.7,32.52,30.37,30.15,23.61,27.23,23.81,22.63,33.73,22.84,19.68,20.11,31.31,28.25,31.41,7.72,5.36,5.55,2.29,3.78,9.21,7.29,7.0,7.45,3.2,6.01,5.28
Atu1677,112.3,119.88,116.61,74.37,85.46,70.11,72.86,70.61,78.37,68.54,66.45,64.91,73.55,91.67,72.71,8.79,7.74,15.53,9.36,8.72,6.87,10.67,15.43,12.76,8.99,12.22,11.78
Atu1678,106.06,106.44,105.18,95.89,86.07,80.55,84.57,92.59,98.44,79.56,96.0,72.32,97.13,81.91,88.21,14.66,14.06,16.11,11.34,9.42,9.3,13.7,22.77,16.68,14.46,15.84,19.56
Atu1679,2914.42,3025.72,3020.3,1726.41,2096.57,1980.46,1582.65,1510.93,1666.94,1907.71,1916.02,1922.31,1730.82,1818.37,1660.04,74.81,55.66,263.98,53.59,62.67,69.22,115.74,135.82,95.92,130.69,92.79,113.92
Atu1680,727.19,776.19,719.17,438.4,474.99,455.6,350.98,370.99,404.12,363.46,347.3,363.57,394.62,400.01,344.38,23.46,26.96,73.24,19.12,22.96,16.1,33.75,49.85,40.33,32.58,39.39,52.76
Atu1681,251.64,229.51,232.49,245.48,207.06,248.08,202.98,199.41,248.95,174.85,181.86,163.49,203.41,244.98,230.14,28.99,26.09,59.38,17.87,28.16,22.82,27.05,43.89,30.86,36.85,41.17,28.31
Atu1682,24.22,18.73,23.69,22.98,12.06,22.64,14.63,30.47,15.54,15.2,17.81,15.0,35.21,25.7,39.9,52.57,46.66,29.46,55.25,91.04,77.16,87.59,74.08,65.1,4.83,10.38,7.47
Atu1683,1558.28,1474.58,1496.71,2077.6,1873.28,2003.25,1432.36,1654.64,2008.92,1367.23,1198.44,1026.37,1436.52,1258.76,1373.84,11382.32,19172.31,10844.45,30121.0,15755.46,11326.69,11015.89,8629.22,10636.86,3681.62,6609.18,5335.9
Atu1685,28.97,21.39,22.44,31.83,24.73,21.67,15.31,10.21,21.68,13.63,18.64,13.22,19.48,30.74,28.81,67.14,56.5,42.06,188.97,105.55,39.23,50.54,38.84,81.53,15.17,41.77,29.04
Atu1686,447.45,430.64,440.83,340.13,306.7,322.75,332.19,276.09,290.19,277.55,272.63,294.52,268.23,316.51,311.16,40.14,36.53,60.74,35.47,33.5,34.69,48.22,69.65,47.24,94.65,60.13,66.98
Atu1687,249.38,247.77,245.1,191.65,184.04,181.23,192.69,178.41,198.37,180.89,182.88,181.31,164.48,164.94,171.49,72.1,75.61,90.77,117.45,61.95,86.11,112.16,107.2,110.61,119.78,93.32,102.13
Atu1688,162.77,160.8,152.77,146.47,134.11,134.75,138.57,131.21,138.43,143.13,166.47,148.23,117.26,141.09,138.09,60.74,56.5,69.06,61.18,56.46,51.92,96.14,83.52,90.01,143.59,65.83,72.04
Atu1689,178.0,202.08,183.24,171.85,132.68,153.58,154.58,145.31,151.57,133.18,128.74,145.39,139.17,134.67,143.35,55.34,40.78,63.64,54.59,46.3,55.97,62.48,73.6,70.65,111.21,60.03,53.14
