locus_tag,LB1,LB2,LB3,Glucose1,Glucose2,Glucose3,Mannose1,Mannose2,Mannose3,Mannitol1,Mannitol2,Mannitol3,Arabinose1,Arabinose2,Arabinose3,Acetate1,Acetate2,Acetate3,Succinate1,Succinate2,Succinate3,Fumarate1,Fumarate2,Fumarate3,PCA1,PCA2,PCA3
Atu1609,8.61,6.45,7.48,26.84,13.05,16.59,17.88,16.15,16.71,10.59,10.53,13.45,18.96,18.57,22.56,1335.98,1314.72,1160.59,2388.35,2059.62,2087.33,1599.94,1614.59,1669.64,288.03,1255.35,628.22
Atu1610,569.73,577.18,585.16,386.73,372.05,384.01,401.28,394.05,397.78,430.78,438.09,425.25,659.13,626.84,713.26,36.59,41.15,79.83,47.39,45.18,45.63,66.97,88.34,69.62,104.92,63.09,64.03
Atu1611,269.3,266.88,272.88,95.99,81.95,91.4,141.65,134.96,130.02,156.61,151.4,140.99,103.34,104.37,122.64,28.4,30.6,37.16,45.75,44.6,43.78,66.65,69.22,60.59,50.24,53.98,49.73
Atu1613,624.6,605.51,666.42,612.98,499.45,560.65,671.55,518.68,583.7,465.0,464.45,460.7,554.27,631.49,716.27,45.25,48.11,100.89,50.81,44.43,63.76,63.42,106.35,74.3,94.31,100.43,101.37
Atu1614,161.98,151.84,160.33,131.16,134.55,142.27,141.22,180.01,176.89,178.01,179.29,187.74,141.65,114.48,124.41,89.19,57.47,99.61,47.49,65.14,85.49,89.73,107.93,89.05,137.46,86.85,85.19
Atu1615,295.77,291.72,308.6,469.75,564.11,475.7,398.02,455.38,449.89,462.48,434.67,425.23,464.18,440.68,443.82,160.26,178.26,193.05,323.43,220.58,226.57,286.74,318.56,309.68,223.48,186.5,193.73
Atu1616,1245.32,1284.05,1245.43,862.82,923.94,902.59,877.95,846.49,845.46,902.15,932.57,929.18,827.72,853.28,788.33,23.46,25.22,133.89,30.14,38.69,41.82,46.83,57.05,47.94,136.95,40.69,61.42
Atu1617,10.98,10.02,13.94,13.28,13.52,16.29,17.93,23.43,18.46,13.78,18.99,22.3,16.18,10.3,14.47,35.48,44.73,38.03,46.91,39.54,30.65,52.76,53.54,64.3,24.88,26.84,23.26
Atu1618,522.22,539.56,515.58,437.83,417.86,420.76,379.36,357.58,409.3,301.77,310.59,297.43,389.82,445.95,419.68,52.75,40.67,85.52,27.2,28.87,31.5,42.78,54.95,42.53,60.01,71.19,79.98
Atu1619,792.57,817.99,782.88,736.38,723.55,709.9,699.44,631.31,689.28,531.67,496.7,490.55,715.98,705.37,701.54,47.81,61.47,112.66,55.0,52.0,40.96,60.08,93.64,71.26,70.89,71.05,76.43
Atu1620,277.33,279.94,305.09,409.37,441.76,420.31,351.04,347.18,367.0,368.11,389.63,379.37,389.16,347.98,339.64,34.05,26.72,80.31,35.65,28.44,23.81,32.04,55.88,40.18,62.65,47.27,64.27
Atu1621,60.65,63.61,59.61,38.65,23.96,30.85,31.74,29.21,39.59,29.56,32.33,23.92,26.28,25.04,28.11,26.07,20.33,22.88,14.87,14.26,16.81,22.88,23.58,26.7,14.66,22.32,13.76
Atu1622,171.49,180.68,185.9,237.37,190.05,208.98,259.06,234.33,235.91,210.77,227.18,231.87,193.91,217.21,214.77,129.13,153.62,149.05,197.36,186.61,164.22,195.37,206.98,205.69,123.3,144.29,124.78
Atu1623,13.22,12.87,16.17,10.01,12.87,13.58,11.18,13.6,10.87,15.21,11.61,10.94,13.05,10.86,10.02,16.35,15.11,10.43,8.7,7.19,10.76,18.54,16.07,14.47,8.48,9.51,9.91
Atu1624,27.79,27.86,27.92,22.47,20.55,28.46,27.54,25.86,29.92,35.81,29.01,30.44,22.58,18.9,20.25,54.84,49.64,46.38,45.72,38.12,62.05,71.72,77.66,83.25,40.87,42.13,41.68
Atu1625,20.11,16.23,19.22,17.23,18.33,19.69,22.5,23.11,21.83,23.44,25.23,22.66,16.13,15.47,18.88,30.04,35.69,29.18,45.04,50.51,54.58,74.23,67.4,72.08,28.85,37.12,23.42
Atu1626,33.96,23.96,36.7,49.19,48.67,44.18,51.19,48.44,57.45,58.13,58.74,59.2,47.6,38.56,42.05,31.66,18.57,33.38,9.75,18.13,17.43,22.22,30.22,29.1,28.16,24.23,30.68
Atu1627,23.84,23.29,21.95,16.72,16.31,12.93,13.92,19.41,16.08,15.13,20.07,18.75,15.95,16.12,14.02,10.71,11.74,10.0,12.97,11.17,13.91,16.41,16.16,15.88,6.72,10.78,9.26
Atu1628,38.53,34.49,29.35,23.56,49.91,30.57,28.74,28.74,30.09,29.7,50.77,37.24,31.25,29.21,38.2,50.7,27.2,40.44,34.08,40.0,43.51,24.83,39.53,58.11,39.94,42.57,43.56
Atu1629,23.28,10.75,18.69,15.26,16.77,18.26,21.79,14.42,20.43,22.47,25.17,19.1,14.37,12.34,20.98,47.79,38.33,33.49,35.41,31.75,39.56,36.31,39.49,41.08,36.53,37.72,30.44
Atu1630,14.53,13.61,11.49,14.64,14.38,17.39,17.48,17.41,20.09,20.65,19.23,15.69,16.31,16.68,20.17,70.69,51.27,52.06,137.19,117.48,104.53,67.34,53.79,66.98,30.1,63.23,55.31
Atu1631,92.72,93.5,92.5,156.11,167.35,152.87,118.95,137.11,139.45,132.32,130.07,135.07,225.67,215.4,222.79,67.39,25.33,73.29,38.76,60.29,124.74,58.34,66.11,55.88,178.19,110.31,133.28
Atu1632,709.6,684.29,678.61,16.64,13.17,13.35,16.55,19.08,22.0,18.32,20.33,17.53,15.91,38.56,19.78,13.04,13.16,8.99,10.62,8.72,9.27,10.65,9.82,11.88,12.58,11.27,12.98
Atu1633,97.39,90.82,99.07,51.61,46.9,50.9,52.47,51.93,47.23,55.24,55.03,51.67,43.32,51.78,46.49,18.79,19.97,19.72,14.21,14.46,12.14,18.74,24.85,22.41,35.13,20.95,18.79
Atu1634,38.96,49.5,41.09,278.62,312.27,289.27,155.68,214.32,172.86,141.77,151.75,124.68,254.94,232.56,333.3,2468.76,2861.45,2407.17,2503.03,2450.65,2583.33,2578.81,2771.78,2806.57,2488.16,3066.85,2904.23
Atu1636,1.05,0.0,0.82,0.51,1.08,1.89,2.8,2.04,2.52,1.98,1.39,2.64,2.2,2.33,1.89,13.03,9.5,3.97,7.21,4.66,4.84,7.32,4.66,8.0,4.29,12.62,6.24
Atu1637,64.26,61.77,65.1,235.96,254.28,238.52,268.24,239.48,283.24,266.18,228.74,236.08,224.39,204.49,346.65,29.38,20.83,45.44,12.81,19.4,24.38,18.12,24.54,28.2,103.57,24.38,39.0
Atu1638,1.68,0.0,0.4,0.97,0.35,0.61,2.45,0.49,2.77,0.76,0.89,0.63,1.48,1.79,0.3,16.45,7.96,3.81,6.93,3.36,3.1,4.14,6.92,6.45,1.21,2.65,3.0
Atu1639,1.34,1.37,0.0,0.0,0.69,0.0,1.96,0.49,0.69,0.76,0.0,0.0,0.84,0.0,0.0,22.17,34.17,13.73,18.71,14.91,7.74,27.3,13.03,28.28,0.97,7.58,5.25
Atu1640,225.88,142.07,175.59,242.67,55.09,68.79,102.56,96.3,64.72,104.7,107.97,89.96,75.31,78.84,97.37,18962.88,45354.11,17355.38,22952.09,13482.45,9886.19,20256.62,19679.8,22852.29,2862.42,10441.89,8241.19
Atu1641,21.08,12.54,10.38,8.9,6.34,7.94,7.05,5.13,6.36,4.0,7.02,6.64,12.16,9.4,12.67,19.68,46.61,13.0,25.42,18.56,20.29,21.68,29.88,31.42,10.8,11.91,14.73
Atu1642,7.96,11.36,13.17,26.51,7.39,6.48,13.36,12.78,16.46,9.96,6.36,13.55,9.52,8.52,14.35,2238.54,4524.64,1817.29,3051.97,1519.36,1158.37,1354.47,932.41,1335.2,473.81,1332.23,894.43
Atu1643,120.39,104.25,102.71,53.57,48.6,51.41,64.92,80.47,73.22,59.92,55.33,51.8,64.77,63.96,84.6,47.65,56.04,45.27,73.58,39.2,21.76,56.4,64.02,59.52,32.81,38.25,41.74
Atu1644,102.4,105.18,122.83,108.48,100.96,113.52,101.95,103.43,116.28,101.81,107.54,96.58,96.17,112.03,114.11,47.89,47.02,56.83,49.01,58.63,73.98,84.33,75.39,86.04,101.42,57.29,57.8
Atu1645,112.26,123.44,121.89,110.59,101.44,109.02,109.81,107.46,125.15,95.71,99.97,97.08,99.04,99.19,103.69,64.7,51.45,59.63,38.83,38.56,46.86,60.8,77.21,65.02,105.14,60.22,54.96
Atu1646,75.96,72.05,76.19,86.21,65.18,83.67,78.34,80.88,103.06,72.88,60.59,69.75,67.79,76.47,87.06,44.22,41.69,55.69,38.32,29.45,41.76,41.68,41.93,42.37,69.99,37.14,39.81
Atu1647,51.98,49.45,50.49,50.12,33.71,40.35,43.56,48.07,51.2,38.91,44.06,42.21,41.36,44.58,57.63,23.88,20.3,27.53,26.46,17.03,17.24,19.05,20.17,22.3,30.24,21.52,20.57
Atu1648,81.39,79.34,66.46,44.99,33.49,42.96,46.46,41.03,39.34,44.86,39.33,39.07,31.37,38.24,39.9,20.55,25.27,21.04,22.48,20.73,19.01,28.94,24.91,29.06,18.98,21.94,17.02
Atu1649,16.55,20.63,14.78,7.19,6.64,7.98,7.11,6.71,8.75,12.55,9.8,9.39,7.29,6.15,6.3,8.63,9.5,3.77,3.04,2.25,0.85,5.67,6.48,6.41,4.52,2.7,4.11
Atu1650,2.52,2.44,3.12,8.93,6.88,7.16,8.54,6.52,11.18,8.15,6.03,7.49,8.86,9.76,11.68,12.75,10.54,8.88,3.51,3.5,3.49,8.07,4.13,9.23,8.92,5.54,2.95
Atu1652,291.65,302.52,296.46,179.94,174.73,179.56,211.93,181.63,190.05,189.68,190.38,211.1,167.17,195.72,180.65,26.37,23.4,48.5,18.84,23.56,22.57,37.78,47.56,35.78,88.11,41.64,46.48
Atu1653,61.9,60.74,71.23,40.06,35.61,36.27,51.16,37.58,43.6,45.79,46.72,40.53,31.54,38.48,35.8,17.82,22.86,22.76,12.03,16.15,10.12,24.16,32.62,27.76,15.35,22.13,19.9
Atu1654,18.69,12.02,18.41,42.53,20.89,23.32,39.44,24.84,39.78,24.29,15.12,20.83,35.84,36.61,41.91,10.68,9.48,11.65,4.83,7.92,6.17,14.82,16.49,15.51,8.37,10.06,6.96
Atu1656,85.78,82.69,85.83,83.06,76.88,70.79,81.8,79.79,95.65,79.21,84.97,74.06,64.98,68.4,68.56,43.26,34.49,56.01,33.32,36.43,44.43,67.78,54.74,54.98,61.41,42.88,53.86
Atu1657,201.51,190.07,216.26,152.17,151.49,152.77,155.19,169.69,174.35,176.8,173.6,169.29,140.7,126.96,156.61,95.5,64.22,102.5,92.91,103.31,123.35,120.56,124.25,114.97,158.63,109.18,134.16
Atu1658,64.58,66.54,64.55,20.23,18.02,17.32,24.8,16.16,19.99,22.19,19.41,18.53,21.66,18.35,19.12,13.18,17.67,10.96,100.75,98.74,55.1,66.65,65.84,51.8,8.01,10.98,7.81
Atu1659,39.03,49.8,51.38,37.9,36.89,27.46,40.07,32.06,32.37,38.27,39.24,46.4,31.03,29.39,30.54,34.16,31.82,34.04,35.75,26.51,21.59,25.66,32.37,24.65,23.32,18.75,21.69
Atu1660,309.92,257.71,295.76,131.98,65.41,81.09,165.21,266.85,243.13,420.02,313.79,237.38,106.5,90.89,89.03,36.84,53.36,67.0,895.85,407.68,773.39,792.76,1108.06,705.49,345.12,479.76,548.7
Atu1661,99.94,97.39,98.54,87.49,87.92,83.35,119.78,117.84,125.01,129.68,137.15,133.81,68.71,62.52,55.38,24.27,22.71,31.27,29.79,32.28,28.77,31.75,52.65,35.68,34.24,47.34,44.65
Atu1662,195.62,203.79,193.02,28.85,19.21,23.02,39.79,39.56,46.59,53.48,31.77,45.08,17.26,13.55,10.89,12.54,15.05,12.64,13.84,13.08,12.82,16.52,21.43,23.36,7.56,10.33,10.22
Atu1663,85.99,74.93,73.0,54.33,36.79,50.79,60.04,61.29,66.07,63.02,60.89,62.91,54.11,57.42,51.9,160.74,133.67,152.85,112.67,89.64,95.92,130.1,125.68,131.67,81.06,145.32,127.21
Atu1664,1931.51,2011.99,2047.17,1560.42,1655.83,1623.42,1575.93,1496.67,1585.12,1327.29,1332.14,1308.63,1444.97,1492.0,1723.8,75.3,107.08,253.44,92.4,92.3,91.66,131.97,156.95,125.85,126.46,168.98,171.11
